Date,Rebap
1.01.2020 0:00,-22.37
1.01.2020 0:15,77.75
1.01.2020 0:30,63.24
1.01.2020 0:45,44.12
1.01.2020 1:00,79.57
1.01.2020 1:15,-72.24
1.01.2020 1:30,15.52
1.01.2020 1:45,14.11
1.01.2020 2:00,130.39
1.01.2020 2:15,46.24
1.01.2020 2:30,49.93
1.01.2020 2:45,35.31
1.01.2020 3:00,127.05
1.01.2020 3:15,36.75
1.01.2020 3:30,34.34
1.01.2020 3:45,28.98
1.01.2020 4:00,-67.45
1.01.2020 4:15,-6.24
1.01.2020 4:30,12.68
1.01.2020 4:45,15.47
1.01.2020 5:00,51.86
1.01.2020 5:15,-0.77
1.01.2020 5:30,17.34
1.01.2020 5:45,113.81
1.01.2020 6:00,145.69
1.01.2020 6:15,96.1
1.01.2020 6:30,119.67
1.01.2020 6:45,90.57
1.01.2020 7:00,92.5
1.01.2020 7:15,68.06
1.01.2020 7:30,-67.45
1.01.2020 7:45,15.93
1.01.2020 8:00,7.28
1.01.2020 8:15,-2.68
1.01.2020 8:30,7.78
1.01.2020 8:45,2.91
1.01.2020 9:00,5.34
1.01.2020 9:15,0.34
1.01.2020 9:30,-2.84
1.01.2020 9:45,-1.25
1.01.2020 10:00,-19.27
1.01.2020 10:15,-55.61
1.01.2020 10:30,-128.84
1.01.2020 10:45,-19.78
1.01.2020 11:00,-225.46
1.01.2020 11:15,-39.2
1.01.2020 11:30,-39.1
1.01.2020 11:45,-99.8
1.01.2020 12:00,-322.66
1.01.2020 12:15,-50.77
1.01.2020 12:30,-34.88
1.01.2020 12:45,-237.53
1.01.2020 13:00,-162.41
1.01.2020 13:15,8.9
1.01.2020 13:30,7.4
1.01.2020 13:45,46.41
1.01.2020 14:00,153.52
1.01.2020 14:15,48.36
1.01.2020 14:30,112.36
1.01.2020 14:45,67.26
1.01.2020 15:00,42.85
1.01.2020 15:15,53.43
1.01.2020 15:30,60.37
1.01.2020 15:45,53.09
1.01.2020 16:00,11.47
1.01.2020 16:15,16.99
1.01.2020 16:30,30.48
1.01.2020 16:45,40.29
1.01.2020 17:00,1.4
1.01.2020 17:15,9.07
1.01.2020 17:30,18.05
1.01.2020 17:45,40.65
1.01.2020 18:00,24.07
1.01.2020 18:15,19.6
1.01.2020 18:30,8.9
1.01.2020 18:45,17.64
1.01.2020 19:00,22.6
1.01.2020 19:15,10.85
1.01.2020 19:30,-0.38
1.01.2020 19:45,0.94
1.01.2020 20:00,2.95
1.01.2020 20:15,-1.01
1.01.2020 20:30,-2.4
1.01.2020 20:45,-12.96
1.01.2020 21:00,11.5
1.01.2020 21:15,17.92
1.01.2020 21:30,-63.79
1.01.2020 21:45,-8.33
1.01.2020 22:00,77.93
1.01.2020 22:15,59.62
1.01.2020 22:30,79.49
1.01.2020 22:45,86.99
1.01.2020 23:00,45.49
1.01.2020 23:15,49.77
1.01.2020 23:30,45.15
1.01.2020 23:45,45.87
2.01.2020 0:00,35.65
2.01.2020 0:15,4.7
2.01.2020 0:30,35.65
2.01.2020 0:45,35.65
2.01.2020 1:00,50.73
2.01.2020 1:15,54.66
2.01.2020 1:30,52.54
2.01.2020 1:45,34.03
